slang,normalized
nb,牛逼
666,厉害
累爆了,很累
烂透了,很差
emmm,嗯
呵呵,无语
你品你细品,仔细体会
yyds,永远的神
tql,太强了
zz,自杀
想不活了,想死
不想活了,想死
活着好累,很累
我真的撑不住了,撑不住
要崩溃了,崩溃
心态崩了,崩溃
emo,难过
炸裂,情绪爆发
裂开了,崩溃
被压垮了,承受不住
死了算了,想死
太难了,很难
快疯了,要疯了
没人懂我,孤独
活着没意义,无意义
我完了,绝望
撑不下去了,撑不住
累死了,很累
伤不起,受伤
痛苦面具,痛苦
黑化,情绪恶化
我不行了,撑不住
好想哭,想哭
一直哭,想哭
失控了,失控
我太难了,很难
看不到希望,绝望
我想结束这一切,想死
永别,自杀
相似,想死
安眠药,自杀倾向
